EmployeeID,HireDate,ExitDate,EmploymentStatus,EmploymentType,Age,Gender,MaritalStatus,StateOfOrigin,Education,EducationField,Department,JobLevel,YearsAtCompany,YearsInRole,TotalWorkingYears,YearsSinceLastPromotion,NumberOfPromotions,MonthlyIncome,SalaryBand,LastSalaryIncreasePct,BonusReceived,PerformanceRating,TrainingTimesLastYear,TargetsMetPct,JobSatisfaction,WorkLifeBalance,ManagerRelationship,EnvironmentSatisfaction,EngagementScore,DistanceFromHome,OvertimeFrequency,BusinessTravel,RemoteWorkOption,Attrition,Reason_for_Leaving
EMP-00024,1/23/2015,,Active,Permanent,31,Female,Married,Anambra,4,Accounting,Cash Management & Vault Operations,3,9.9,2.3,9.9,3.2,2,985715,Mid,10.1,No,3,1,71.1,4,3,3,2,76,626,Rarely,No Travel,No,No,
EMP-00025,1/25/2015,10/7/2017,Resigned,Permanent,34,Male,Married,Abuja (FCT),3,Economics,Card Services Department,2,9.9,6.9,10.3,0.2,1,679289,Junior,14.6,Yes,3,2,89.5,3,2,4,4,85,487,Rarely,No Travel,Yes,Yes,RELOCATION
EMP-00026,1/26/2015,,Active,Permanent,41,Male,Single,Rivers,5,Law,International Remittances Department,4,9.9,4.8,17.8,5.0,3,3054975,Senior,9.6,Yes,3,1,81.7,2,4,4,3,79,749,Sometimes,Frequent,No,No,
EMP-00027,1/27/2015,10/16/2024,Resigned,Permanent,25,Male,Single,Rivers,3,Finance,Customer Service / Customer Experience Department,2,9.9,2.5,9.9,4.9,0,778577,Junior,15.0,Yes,4,2,88.5,3,2,4,3,73,476,Rarely,Occasional,No,Yes,BETTER OPPORTUNITY
EMP-00028,1/27/2015,3/26/2021,Resigned,Permanent,51,Female,Single,Niger,3,Accounting,Retail Banking Department,5,9.9,2.0,22.4,4.8,3,7977647,Executive,13.3,Yes,1,3,43.1,1,3,3,4,67,471,Sometimes,Occasional,No,Yes,BETTER OPPORTUNITY
EMP-00029,1/27/2015,,Active,Permanent,31,Female,Married,Anambra,4,Banking & Finance,Treasury & Markets Department,3,9.9,6.1,9.9,3.8,2,946123,Mid,9.3,Yes,3,1,86.8,4,3,4,1,77,172,Often,No Travel,No,No,
EMP-00030,1/28/2015,,Active,Permanent,43,Female,Married,Plateau,3,Law,Data Analytics & Business Intelligence,3,9.9,6.1,19.6,5.7,2,1428937,Mid,14.1,Yes,3,2,80.2,3,3,4,3,81,302,Rarely,No Travel,Yes,No,
EMP-00031,1/28/2015,,Active,Permanent,28,Male,Married,Oyo,2,Business Administration,Card Services Department,2,9.9,6.9,9.9,5.1,1,754467,Junior,14.2,Yes,2,3,67.7,3,2,4,3,80,67,Never,Occasional,No,No,
EMP-00032,1/28/2015,,Active,Permanent,25,Female,Single,Niger,3,Banking & Finance,Clearing & Settlement Department,2,9.9,1.4,9.9,1.1,1,544220,Junior,13.3,Yes,2,2,68.5,3,1,4,3,74,160,Often,No Travel,No,No,
EMP-00033,1/30/2015,6/29/2019,Resigned,Permanent,29,Male,Married,Lagos,3,Finance,Information & Cyber Security Department,2,9.9,6.6,9.9,5.0,1,657234,Junior,13.1,No,4,4,97.4,2,3,2,3,58,53,Sometimes,No Travel,No,Yes,ACADEMICS
EMP-00034,2/1/2015,,Active,Permanent,45,Male,Married,Imo,3,Accounting,Cash Management & Vault Operations,4,9.9,1.7,16.8,1.7,3,1813456,Senior,11.0,No,4,2,96.5,3,3,4,3,77,243,Rarely,Frequent,No,No,
EMP-00035,2/1/2015,,Active,Contract,24,Male,Single,Lagos,2,Banking & Finance,Institutional Banking Department,1,9.9,6.5,9.9,3.6,0,244890,Contract,0.7,Yes,3,0,83.7,1,2,2,3,46,2,Rarely,No Travel,No,No,
EMP-00036,2/2/2015,,Active,Permanent,26,Male,Married,Abuja (FCT),3,Accounting,Customer Service / Customer Experience Department,2,9.9,0.6,9.9,4.8,1,673804,Junior,14.4,Yes,4,1,96.8,1,3,3,2,54,586,Rarely,Frequent,No,No,
EMP-00037,2/2/2015,,Active,Permanent,37,Female,Married,Enugu,3,Business Administration,Card Services Department,2,9.9,6.6,11.3,5.8,1,789604,Junior,14.5,No,3,0,80.4,4,2,3,3,75,734,Never,Occasional,No,No,
EMP-00038,2/3/2015,,Active,Permanent,30,Male,Married,Imo,3,Finance,Commercial Banking Department,2,9.9,1.5,9.9,5.0,0,524276,Junior,7.2,No,2,2,55.9,3,2,3,2,60,428,Sometimes,No Travel,No,No,
EMP-00039,2/3/2015,,Active,Permanent,35,Female,Married,Lagos,3,Computer Science,Treasury & Markets Department,4,9.9,7.4,11.2,3.8,2,1722182,Senior,14.5,Yes,3,3,76.5,3,2,1,4,64,43,Sometimes,Frequent,No,No,
EMP-00040,2/3/2015,,Active,Permanent,36,Female,Married,Abuja (FCT),4,Accounting,Corporate Banking Department,4,9.9,1.0,12.0,0.5,3,2198165,Senior,13.4,No,4,4,98.6,1,2,4,4,70,527,Often,Frequent,No,No,
EMP-00041,2/4/2015,,Active,Permanent,37,Female,Married,Osun,3,Economics,Commercial Banking Department,3,9.9,3.3,13.0,1.6,3,1186503,Mid,9.2,No,2,3,65.1,4,2,3,2,71,784,Sometimes,Occasional,No,No,
EMP-00042,2/7/2015,,Active,Permanent,42,Male,Single,Anambra,4,Accounting,Internal Audit Department,5,9.9,5.7,10.5,2.2,4,4618346,Executive,6.0,Yes,3,3,70.2,3,4,3,3,78,174,Always,Frequent,No,No,
EMP-00043,2/7/2015,,Active,Permanent,25,Female,Single,Oyo,3,Finance,Internal Control & Anti-Fraud Unit,2,9.9,8.2,9.9,0.2,0,627878,Junior,10.1,Yes,3,3,82.2,4,1,2,4,65,45,Sometimes,No Travel,No,No,
EMP-00044,2/8/2015,,Active,Permanent,35,Female,Married,Abuja (FCT),2,Finance,Corporate Social Responsibility (CSR) Unit,2,9.9,6.2,11.0,1.2,1,547027,Junior,4.5,Yes,4,1,93.0,4,3,2,4,81,468,Sometimes,Frequent,No,No,
EMP-00045,2/8/2015,,Active,Permanent,32,Male,Single,Lagos,4,Computer Science,Regulatory Compliance Department,2,9.9,1.6,9.9,0.4,1,773485,Junior,14.5,No,3,4,86.7,4,2,3,3,77,52,Sometimes,No Travel,Yes,No,
EMP-00046,2/8/2015,,Active,Permanent,40,Female,Married,Lagos,3,Information Technology,Branch Operations Department,4,9.9,5.4,15.6,1.9,3,1800206,Senior,8.1,Yes,3,2,82.0,2,1,2,3,47,36,Rarely,Occasional,No,No,
EMP-00047,2/8/2015,,Active,Permanent,33,Male,Single,Abuja (FCT),4,Banking & Finance,Alternative Channels Department,3,9.9,4.8,9.9,3.2,2,1384087,Mid,12.6,No,3,1,89.8,2,4,3,3,79,485,Never,No Travel,No,No,
EMP-00048,2/9/2015,,Active,Permanent,39,Female,Married,Lagos,4,Engineering,Branch Operations Department,3,9.9,3.3,15.1,3.0,2,841410,Mid,9.4,Yes,1,1,46.2,3,3,4,4,84,48,Often,No Travel,No,No,
EMP-00049,2/9/2015,,Active,Permanent,27,Female,Married,Abuja (FCT),2,Finance,Core Banking Applications Support,2,9.9,8.4,9.9,2.3,1,534022,Junior,14.5,Yes,4,2,95.2,2,3,4,3,78,478,Never,No Travel,Yes,No,
EMP-00050,2/9/2015,,Active,Permanent,29,Male,Married,Lagos,3,Economics,Facilities & Administrative Services,3,9.9,7.5,9.9,2.0,1,865195,Mid,7.8,No,4,2,99.4,4,2,2,2,59,12,Always,No Travel,No,No,
EMP-00051,2/11/2015,,Active,Permanent,36,Male,Divorced,Anambra,3,Accounting,Alternative Channels Department,2,9.9,4.6,12.1,2.4,1,511467,Junior,11.1,No,4,3,91.1,2,4,4,4,89,648,Rarely,Occasional,No,No,
EMP-00052,2/13/2015,12/3/2016,Resigned,Permanent,29,Male,Married,Adamawa,3,Others,Retail Banking Department,2,9.9,2.6,9.9,3.7,0,702850,Junior,5.4,Yes,3,2,86.7,3,4,4,4,94,490,Rarely,No Travel,No,Yes,CAREER PROGRESSION
EMP-00053,2/16/2015,,Active,Permanent,30,Male,Married,Delta,3,Business Administration,Branch Operations Department,3,9.9,4.3,9.9,4.7,2,990606,Mid,5.6,No,2,1,64.3,3,1,4,4,79,716,Never,Occasional,No,No,
EMP-00054,2/16/2015,,Active,Permanent,35,Male,Single,Ebonyi,4,Finance,Customer Service / Customer Experience Department,3,9.9,6.3,10.6,0.8,1,1184462,Mid,4.1,Yes,2,1,54.7,4,1,4,1,59,423,Sometimes,No Travel,No,No,
EMP-00055,2/17/2015,8/26/2023,Resigned,Contract,33,Female,Single,Edo,1,Computer Science,Private Banking & Wealth Management,1,9.9,3.8,10.0,0.6,0,157750,Contract,0.8,No,1,2,32.7,2,3,3,4,78,783,Often,Occasional,No,Yes,CAREER BREAK
EMP-00056,2/18/2015,,Active,Permanent,35,Female,Single,Rivers,4,Business Administration,Corporate Communications & Marketing,3,9.9,3.3,11.8,1.6,1,1416225,Mid,10.0,Yes,4,1,97.9,2,4,3,3,75,319,Often,Occasional,No,No,
EMP-00057,2/18/2015,10/15/2023,Resigned,Permanent,38,Male,Married,Abuja (FCT),4,Banking & Finance,Private Banking & Wealth Management,3,9.9,7.5,12.7,5.8,2,977182,Mid,13.5,No,4,4,88.2,2,2,3,2,59,412,Rarely,Occasional,No,Yes,RELOCATION
EMP-00058,2/19/2015,8/9/2022,Resigned,Permanent,47,Female,Single,Ebonyi,4,Accounting,Corporate Banking Department,4,9.9,0.7,16.1,2.1,2,2415301,Senior,10.9,Yes,4,3,91.5,1,3,3,1,50,751,Always,Frequent,No,Yes,PERSONAL REASONS
EMP-00059,2/20/2015,2/14/2024,Resigned,Contract,25,Female,Single,Lagos,3,Computer Science,Private Banking & Wealth Management,1,9.9,4.5,9.9,2.7,0,165624,Contract,1.8,No,4,1,91.6,1,4,3,2,64,17,Sometimes,No Travel,No,Yes,CAREER PROGRESSION
EMP-00060,2/20/2015,,Active,Permanent,43,Female,Single,Oyo,4,Information Technology,SME Banking Department,3,9.9,1.9,13.5,1.0,1,1411282,Mid,7.9,No,2,2,62.2,4,3,4,4,92,80,Sometimes,Occasional,No,No,
EMP-00061,2/20/2015,,Active,Permanent,37,Male,Married,Abuja (FCT),3,Accounting,Facilities & Administrative Services,3,9.9,1.9,12.1,1.3,1,1195124,Mid,3.9,No,1,3,40.5,3,2,1,3,55,404,Always,Occasional,No,No,
EMP-00062,2/21/2015,,Active,Contract,33,Female,Married,Ogun,3,Accounting,Finance & Corporate Strategy Department,1,9.9,4.0,10.0,2.8,0,158951,Contract,0.4,No,2,1,56.1,3,2,3,3,72,78,Often,No Travel,Yes,No,
EMP-00063,2/21/2015,,Active,Permanent,42,Male,Married,Jigawa,3,Economics,Data Analytics & Business Intelligence,4,9.9,2.3,11.7,2.7,4,2409251,Senior,12.6,Yes,4,3,88.5,4,2,3,3,72,291,Often,Occasional,Yes,No,
EMP-00064,2/26/2015,,Active,Contract,29,Male,Single,Kaduna,3,Information Technology,Retail Banking Department,1,9.8,5.9,9.8,3.6,0,229921,Contract,2.3,No,2,2,56.8,3,4,3,1,72,374,Sometimes,No Travel,No,No,
EMP-00065,2/26/2015,,Active,Permanent,31,Female,Married,Oyo,3,Economics,Commercial Banking Department,2,9.8,5.0,9.8,1.4,1,661080,Junior,11.0,Yes,3,4,74.4,3,1,3,2,53,107,Never,Occasional,No,No,
EMP-00066,2/27/2015,,Active,Permanent,34,Male,Married,Lagos,2,Law,Facilities & Administrative Services,2,9.8,6.1,10.7,2.6,1,778586,Junior,10.6,No,3,2,77.4,1,3,3,3,67,17,Rarely,No Travel,No,No,
EMP-00067,2/27/2015,11/27/2022,Resigned,Permanent,26,Male,Married,Lagos,4,Accounting,Retail Banking Department,2,9.8,2.3,9.8,2.5,0,642195,Junior,3.6,Yes,2,4,61.5,3,4,1,2,67,6,Sometimes,No Travel,No,Yes,BETTER OPPORTUNITY
EMP-00068,2/27/2015,,Active,Permanent,35,Male,Married,Niger,5,Statistics,Information & Cyber Security Department,3,9.8,1.3,11.9,1.5,2,1287295,Mid,12.2,Yes,2,5,52.3,3,2,4,2,69,527,Often,Occasional,Yes,No,
EMP-00069,3/2/2015,,Active,Permanent,24,Male,Single,Kano,3,Finance,Corporate Banking Department,2,9.8,4.9,9.8,0.7,0,688717,Junior,4.4,No,3,5,78.0,4,3,4,4,97,352,Sometimes,No Travel,No,No,
EMP-00070,3/2/2015,10/31/2023,Resigned,Contract,29,Male,Divorced,Oyo,2,Finance,Commercial Banking Department,1,9.8,6.9,9.8,0.3,0,197458,Contract,0.5,No,3,1,75.1,3,3,3,1,58,69,Sometimes,Occasional,No,Yes,CAREER BREAK
EMP-00071,3/4/2015,11/8/2016,Resigned,Permanent,35,Female,Married,Rivers,3,Accounting,Customer Service / Customer Experience Department,2,9.8,4.4,10.7,4.5,1,562398,Junior,6.9,No,4,3,88.3,3,1,4,2,66,703,Sometimes,No Travel,Yes,Yes,CAREER PROGRESSION
EMP-00072,3/4/2015,,Active,Permanent,25,Male,Single,Lagos,3,Others,Core Banking Applications Support,2,9.8,8.0,9.8,2.4,1,711818,Junior,5.6,Yes,3,1,71.6,2,4,3,3,74,24,Sometimes,No Travel,No,No,
EMP-00073,3/6/2015,,Active,Permanent,30,Female,Divorced,Cross River,3,Finance,Branch Operations Department,2,9.8,4.7,9.8,1.6,0,777306,Junior,12.9,Yes,3,1,76.0,3,1,2,4,64,186,Rarely,No Travel,No,No,
EMP-00074,3/6/2015,9/28/2015,Resigned,Permanent,44,Male,Married,Abuja (FCT),3,Economics,Public Sector Department,3,9.8,1.6,10.8,4.9,3,987381,Mid,4.1,Yes,3,2,78.3,4,3,4,3,87,502,Rarely,Occasional,No,Yes,CAREER PROGRESSION
EMP-00075,3/6/2015,,Active,Contract,34,Male,Married,Ekiti,2,Law,SME Banking Department,1,9.8,3.0,9.9,1.2,0,181676,Contract,4.8,No,2,0,62.7,3,3,4,3,77,679,Rarely,No Travel,No,No,
EMP-00076,3/6/2015,,Active,Contract,26,Female,Married,Plateau,1,Economics,Internal Control & Anti-Fraud Unit,1,9.8,2.9,9.8,0.6,0,209225,Contract,1.4,No,4,0,89.9,3,2,3,3,67,720,Never,Occasional,Yes,No,
EMP-00077,3/8/2015,,Active,Permanent,45,Female,Married,Kano,3,Information Technology,Asset Management Department,4,9.8,6.5,21.8,4.6,4,3488215,Senior,8.0,Yes,2,4,66.2,3,3,3,4,81,604,Always,Occasional,Yes,No,
EMP-00078,3/8/2015,10/14/2023,Resigned,Permanent,38,Male,Married,Ogun,4,Finance,Finance & Corporate Strategy Department,4,9.8,6.4,10.2,3.3,3,1880360,Senior,4.0,Yes,4,2,95.2,2,1,3,3,60,102,Rarely,Frequent,No,Yes,CAREER BREAK
EMP-00079,3/8/2015,,Active,Permanent,34,Male,Single,Rivers,3,Finance,Human Resources & Talent Management,2,9.8,6.7,10.9,1.0,0,562072,Junior,11.2,Yes,3,1,81.1,2,1,2,4,54,759,Rarely,No Travel,No,No,
EMP-00080,3/9/2015,1/2/2021,Resigned,Permanent,32,Male,Married,Imo,3,Business Administration,Internal Audit Department,2,9.8,6.3,9.8,3.7,1,720079,Junior,8.8,No,1,1,49.8,4,4,1,3,71,178,Rarely,No Travel,No,Yes,ACADEMICS
EMP-00081,3/10/2015,,Active,Contract,28,Male,Single,Abuja (FCT),1,Business Administration,Private Banking & Wealth Management,1,9.8,0.5,9.8,1.6,0,152802,Contract,0.7,No,2,2,55.7,3,2,4,3,72,570,Often,No Travel,No,No,
EMP-00082,3/10/2015,,Active,Permanent,35,Male,Married,Benue,4,Mathematics,Card Services Department,4,9.8,3.7,11.2,0.9,2,2978162,Senior,13.8,Yes,3,1,86.2,4,3,3,3,77,335,Rarely,Occasional,No,No,
EMP-00083,3/10/2015,,Active,Permanent,26,Female,Married,Kano,3,Information Technology,Alternative Channels Department,2,9.8,7.1,9.8,1.7,0,678050,Junior,14.6,No,1,3,47.9,3,2,3,3,67,735,Rarely,No Travel,No,No,
EMP-00084,3/12/2015,,Active,Permanent,32,Female,Married,Lagos,3,Computer Science,Agricultural Finance Department,2,9.8,7.8,9.8,3.5,1,721538,Junior,3.8,No,3,1,75.8,4,4,3,2,80,23,Rarely,Occasional,No,No,
EMP-00085,3/12/2015,4/1/2018,Resigned,Contract,32,Male,Single,Kaduna,3,Finance,Retail Banking Department,1,9.8,7.9,9.8,5.4,0,242969,Contract,2.8,No,1,1,24.3,1,4,2,4,71,257,Rarely,Frequent,No,Yes,BETTER OPPORTUNITY
EMP-00086,3/16/2015,6/3/2015,Resigned,Permanent,28,Male,Married,Abia,3,Business Administration,Data Analytics & Business Intelligence,3,9.8,5.8,9.8,4.3,1,1029176,Mid,8.4,Yes,3,2,76.1,3,4,3,4,84,583,Always,Occasional,Yes,Yes,BETTER OPPORTUNITY
EMP-00087,3/18/2015,,Active,Permanent,28,Male,Divorced,Oyo,3,Finance,Institutional Banking Department,2,9.8,6.2,9.8,4.4,1,575692,Junior,10.9,Yes,2,2,59.2,3,3,3,1,66,30,Rarely,No Travel,No,No,
EMP-00088,3/19/2015,,Active,Permanent,37,Female,Married,Kwara,5,Accounting,Customer Service / Customer Experience Department,4,9.8,0.8,11.1,5.3,2,2074989,Senior,9.0,Yes,3,3,76.4,3,3,4,3,79,361,Rarely,Frequent,No,No,
EMP-00089,3/19/2015,,Active,Permanent,49,Female,Married,Lagos,3,Finance,Corporate Banking Department,4,9.8,7.3,10.5,3.0,3,2701507,Senior,13.9,Yes,4,1,93.4,2,4,3,3,77,51,Often,No Travel,No,No,
EMP-00090,3/21/2015,,Active,Permanent,43,Male,Married,Lagos,3,Others,Trade Services Department,4,9.8,2.0,14.4,2.2,2,2074382,Senior,3.9,Yes,3,2,88.4,3,4,3,1,71,41,Sometimes,Frequent,No,No,
EMP-00091,3/21/2015,,Active,Permanent,25,Male,Single,Delta,3,Business Administration,Card Services Department,2,9.8,1.7,9.8,3.0,0,775536,Junior,4.2,Yes,4,2,92.8,3,4,4,3,91,258,Sometimes,No Travel,No,No,
EMP-00092,3/21/2015,,Active,Permanent,24,Female,Single,Ebonyi,3,Engineering,Foreign Exchange (FX) Operations,2,9.8,3.3,9.8,4.1,1,733208,Junior,14.2,No,4,2,99.2,2,4,3,2,67,779,Sometimes,No Travel,No,No,
EMP-00093,3/22/2015,,Active,Permanent,56,Male,Married,Lagos,4,Engineering,Card Services Department,5,9.8,2.1,29.2,1.6,4,6604952,Executive,15.6,Yes,3,2,85.8,3,4,3,3,84,58,Often,No Travel,Yes,No,
EMP-00094,3/23/2015,,Active,Contract,33,Male,Married,Abia,1,Business Administration,Cash Management & Vault Operations,1,9.8,0.4,9.9,1.9,0,232097,Contract,4.0,Yes,3,1,76.0,2,3,3,3,70,376,Often,No Travel,No,No,
EMP-00095,3/25/2015,8/7/2019,Terminated,Permanent,30,Male,Married,Edo,4,Accounting,Asset Management Department,2,9.8,7.4,9.8,4.4,0,783142,Junior,11.7,Yes,2,2,55.1,1,3,3,3,62,438,Sometimes,Occasional,No,Yes,TERMINATION
EMP-00096,3/25/2015,,Active,Permanent,37,Male,Married,Lagos,3,Banking & Finance,Legal Department,3,9.8,5.1,10.4,4.9,1,848737,Mid,13.3,Yes,4,3,88.5,3,4,1,3,69,59,Never,Occasional,No,No,
EMP-00097,3/26/2015,,Active,Permanent,34,Female,Single,Kebbi,3,Finance,Risk Management Department,3,9.8,4.7,10.9,1.7,2,1322117,Mid,7.3,Yes,3,3,78.2,3,2,4,2,73,150,Sometimes,No Travel,No,No,
EMP-00098,3/27/2015,,Active,Permanent,29,Male,Single,Lagos,3,Economics,Retail Banking Department,2,9.8,2.5,9.8,4.8,1,760281,Junior,12.9,No,4,4,95.5,4,2,3,4,78,43,Sometimes,No Travel,No,No,
EMP-00099,3/28/2015,,Active,Permanent,30,Female,Married,Abuja (FCT),3,Accounting,Internal Control & Anti-Fraud Unit,3,9.8,2.7,9.8,5.2,2,1073010,Mid,12.0,Yes,3,2,82.4,4,4,2,2,80,450,Rarely,Occasional,No,No,
EMP-00100,3/29/2015,,Active,Permanent,24,Male,Married,Lagos,4,Information Technology,Alternative Channels Department,2,9.8,5.2,9.8,3.8,1,652767,Junior,11.4,No,2,3,61.7,2,3,3,3,67,40,Always,Occasional,Yes,No,
EMP-00101,3/31/2015,1/26/2021,Resigned,Permanent,55,Male,Single,Abia,4,Business Administration,Public Sector Department,5,9.8,6.3,20.5,0.2,5,4297634,Executive,15.0,Yes,4,2,91.3,3,2,3,2,65,524,Often,Frequent,No,Yes,BETTER OPPORTUNITY
EMP-00102,3/31/2015,,Active,Permanent,26,Female,Single,Rivers,4,Finance,Internal Control & Anti-Fraud Unit,2,9.8,7.8,9.8,0.3,0,524809,Junior,12.1,No,2,1,69.7,3,2,4,4,79,259,Always,Occasional,No,No,
EMP-00103,3/31/2015,,Active,Permanent,37,Male,Married,Abuja (FCT),3,Computer Science,Regulatory Compliance Department,3,9.8,1.4,12.9,1.6,2,1020638,Mid,9.4,No,2,2,65.9,3,4,4,2,85,493,Often,Occasional,No,No,
EMP-00104,3/31/2015,,Active,Contract,27,Female,Married,Niger,3,Economics,Retail Banking Department,1,9.8,0.8,9.8,1.9,0,211134,Contract,3.9,No,3,1,78.7,3,2,3,3,64,725,Often,No Travel,Yes,No,
